job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes
1443,greenhouse,6547632,https://job-boards.greenhouse.io/appier/jobs/6547632,appier,Technical Service Engineer (Greater China Region),Technical Service Engineer (Greater China Region),"About Appier&nbsp; Appier is a software-as-a-service (SaaS) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s mission is turning AI into ROI by making software intelligent. Appier now has 17 offices across APAC, Europe and U.S., and is listed on the Tokyo Stock Exchange (Ticker number: 4180).&nbsp;Visit&nbsp; www.appier.com &nbsp;for more information.. About the role As an Appier Technical Service Engineer (Greater China Region) , your primary responsibility is to assist clients in integrating Appier AI",software_engineer,software_engineering,,,,Taipei,TW,,,,,,,,,,,,,,,,,,,,,,,,todo,
202,greenhouse,7579408002,https://job-boards.greenhouse.io/gomotive/jobs/7579408002,gomotive,"Regional Director, Account Management","Regional Director, Account Management","Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",account_manager,sales,senior,,remote,Islamabad & Lahore,US,,,,,,,,,,,,,,,,,,,,,,,,todo,
1732,greenhouse,7427269,https://job-boards.greenhouse.io/capco/jobs/7427269,capco,LD Ops,LD Ops,"&nbsp; Job Title: Operations&nbsp; About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the &nbsp;British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar &amp; Seramount . With our presence across 32 cities across globe, we support 100+ clients across&nbsp;banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery.&nbsp; WHY JOIN CAPCO? You will work on engaging projects with the largest international and local banks, insurance comp",other,other,,,,India - Bengaluru,IN,,,,,,,,,,,,,,,,,,,,,,,,todo,
1378,greenhouse,6958296,https://job-boards.greenhouse.io/appier/jobs/6958296,appier,HR Employee Experience Senior Manager / Associate Director,HR Employee Experience Senior Manager / Associate Director,"Overview: We are seeking an experienced and dynamic HR Senior Manager/ Associate Director to lead our HR Employee Experience team with a focus on efficiency, effectiveness, and exceptional employee experience delivery. The ideal candidate will possess a strong background in HR problem solving / consulting, HR Shared Service Center management, HRIS management, and a proven track record in driving HR process improvement initiatives. This role requires excellent leadership and communication skills, strategic thinking, and the ability to collaborate with cross-functional teams to deliver HR soluti",manager,operations,associate,,,Taipei,TW,,,,,,,,,,,,,,,,,,,,,,,,todo,
1879,greenhouse,7583354,https://job-boards.greenhouse.io/capco/jobs/7583354,capco,Senior Consultant - Compliance Registrations,Senior Consultant - Compliance Registrations,"About the team: Capital Markets is part of Capco’s DNA. In fact, the Capco name was inspired by this domain. The Capital Markets team delivers expert consulting skills and deep product and functional knowledge across all areas of the front office, operations, technology, risk, finance and compliance.&nbsp; Our clients include the largest investment banks, global universal banks and capital markets divisions from regional banks across the country and around the globe.&nbsp; Our delivery expertise spans across launching new lines of business, coordinating high-impact regulatory response programs",consultant,consulting,senior,,,US - New York,,,,,,,,,,,,,,,,,,,,,,,,,todo,
377,greenhouse,6177790,https://job-boards.greenhouse.io/canonical/jobs/6177790,canonical,MAAS Data Center Infrastructure Engineer (Toronto area),MAAS Data Center Infrastructure Engineer (Toronto area),"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1100+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",analytics_engineer,data_analytics,,,hybrid,Toronto,CA,,,,,,,,,,,,,,,,,,,,,,,,todo,
1188,greenhouse,7547001003,https://job-boards.greenhouse.io/celonis/jobs/7547001003?gh_jid=7547001003,celonis,Procurement Manager - Marketing,Procurement Manager - Marketing,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: Reporting to our Global Head of Procurement you will work closely with various internal stakeholders and global leadership across the board to develop long-term procurement strategies. You will be part of an experienced and ambitious global procurement team. Despite the different ti",marketing_specialist,marketing,senior,,hybrid,Madrid,ES,,,,,,,,,,,,,,,,,,,,,,,,todo,
1970,greenhouse,7534076,https://job-boards.greenhouse.io/capco/jobs/7534076,capco,Trade and Transaction Reporting Business Analyst / Project Manager,Trade and Transaction Reporting Business Analyst / Project Manager,"Trade &amp; Transaction Reporting Consultant – Business Analyst / Project Manager Location: London (Hybrid) | Practice Area : FRRF – Financial Crime, Risk, Regulation &amp; Finance Transformation | Type: Permanent Drive regulatory clarity and control across global reporting regimes The Role Capco is seeking Business Analysts and Project Managers to join our FRRF practice, with a focus on trade and transaction reporting transformation. You’ll help financial institutions deliver reporting programmes across regimes such as EMIR Refit, MiFIR, SFTR, and CFTC, supporting enhanced transparency, opera",business_analyst,business_analysis,lead,,hybrid,UK - London,,,,,,,,,,,,,,,,,,,,,,,,,todo,
1743,greenhouse,7621525,https://job-boards.greenhouse.io/capco/jobs/7621525,capco,LEA Product Manager,LEA Product Manager,"&nbsp; About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British&nbsp;Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar &amp; Seramount . With our presence across 32 cities across globe, we support 100+ clients across&nbsp;banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery.&nbsp; WHY JOIN CAPCO? You will work on engaging projects with the largest international and local banks, insurance companies, payment service provid",product_manager,product_management,associate,,,India - Pune,IN,,,,,,,,,,,,,,,,,,,,,,,,todo,
863,greenhouse,5801260004,https://job-boards.greenhouse.io/grafanalabs/jobs/5801260004,grafanalabs,Staff Backend Engineer - Adaptive Telemetry | Sweden | Remote,Staff Backend Engineer - Adaptive Telemetry | Sweden | Remote,"Grafana Labs is a remote-first, open-source powerhouse. There are more than 20M users of Grafana, the open source visualization tool, around the globe, monitoring everything from beehives to climate change in the Alps. The instantly recognizable dashboards have been spotted everywhere from a NASA launch and Minecraft HQ to Wimbledon and the Tour de France. Grafana Labs also helps more than 3,000 companies -- including Bloomberg, JPMorgan Chase, and eBay -- manage their observability strategies with the Grafana LGTM Stack, which can be run fully managed with Grafana Cloud or self-managed with t",backend_engineer,backend,senior,,remote,Sweden ( ),GB,,,,,,,,,,,,,,,,,,,,,,,,todo,
